_id,Czas_Rejestracji,Liczba_Wolnych_Miejsc,Liczba_Poj_Wjezdzajacych,Liczba_Poj_Wyjezdzajacych,Nazwa
1884,2025-01-14 07:57:32.877000,27,1,0,PR03B - Grabiszyn północ
1885,2025-01-14 07:59:54.043000,101,3,11,PR01B - Psie Pole - Stacja PKP parking nr 3
1886,2025-01-14 07:51:51.623000,41,0,0,PR03A - Grabiszyn południe
1887,2025-01-14 07:54:39.007000,42,0,0,PR02 - ul. Bystrzycka-Idzikowskiego (Kuźniki)
1888,2025-01-14 07:55:01.487000,52,1,0,PR04 - ul. Snycerska-Majchra (Leśnica)
1889,2025-01-14 07:16:44.740000,-1,0,0,PR11 - ul. Ślężna-Kamienna
1890,2025-01-14 07:28:35.163000,4,0,0,PR09 - ul. Opolska-Karwińska
1891,2025-01-14 07:54:52.093000,33,0,0,PR06 - ul. Kosmonautów-Boguszowska
1892,2025-01-14 07:49:28.730000,146,0,0,PR08 - ul. Opolska-Głubczycka
1893,2025-01-14 07:36:48.823000,36,0,0,PR05 - ul. Bardzka-Świeradowska
1894,2025-01-14 07:28:56.410000,-293,0,0,PR15 - ul. Kamiennogórska
1895,2025-01-14 07:45:04.107000,22,0,0,PR17 -  ul. Osobowicka
1896,2025-01-14 09:00:48.800000,54,0,0,PR12 - Klecina - pętla MPK
1897,2025-01-14 09:14:35.003000,-47,0,2,PR07 - ul. Kosmonautów-Fieldorfa (Szpital)
1898,2025-01-14 08:36:51.610000,26,0,0,PR03B - Grabiszyn północ
1899,2025-01-14 09:08:22.430000,107,0,0,PR01B - Psie Pole - Stacja PKP parking nr 3
1900,2025-01-14 09:06:21.440000,28,0,0,PR03A - Grabiszyn południe
1901,2025-01-14 07:54:39.007000,42,0,0,PR02 - ul. Bystrzycka-Idzikowskiego (Kuźniki)
1902,2025-01-14 08:58:10.797000,41,0,0,PR04 - ul. Snycerska-Majchra (Leśnica)
1903,2025-01-14 09:12:40.033000,-6,2,0,PR11 - ul. Ślężna-Kamienna
1904,2025-01-14 07:28:35.163000,4,0,0,PR09 - ul. Opolska-Karwińska
1905,2025-01-14 08:51:56.130000,24,0,0,PR06 - ul. Kosmonautów-Boguszowska
1906,2025-01-14 09:13:36.147000,136,0,1,PR08 - ul. Opolska-Głubczycka
1907,2025-01-14 09:05:07.813000,34,0,0,PR05 - ul. Bardzka-Świeradowska
1908,2025-01-14 09:12:32.960000,-294,1,0,PR15 - ul. Kamiennogórska
1909,2025-01-14 08:27:26.373000,23,0,0,PR17 -  ul. Osobowicka
1910,2025-01-14 09:00:48.800000,54,0,0,PR12 - Klecina - pętla MPK
1911,2025-01-14 09:19:38.073000,-48,1,0,PR07 - ul. Kosmonautów-Fieldorfa (Szpital)
1912,2025-01-14 08:36:51.610000,26,0,0,PR03B - Grabiszyn północ
1913,2025-01-14 09:08:22.430000,107,0,0,PR01B - Psie Pole - Stacja PKP parking nr 3
1914,2025-01-14 09:18:11.387000,27,1,0,PR03A - Grabiszyn południe
1915,2025-01-14 07:54:39.007000,42,0,0,PR02 - ul. Bystrzycka-Idzikowskiego (Kuźniki)
1916,2025-01-14 08:58:10.797000,41,0,0,PR04 - ul. Snycerska-Majchra (Leśnica)
1917,2025-01-14 09:12:40.033000,-6,0,0,PR11 - ul. Ślężna-Kamienna
1918,2025-01-14 07:28:35.163000,4,0,0,PR09 - ul. Opolska-Karwińska
1919,2025-01-14 08:51:56.130000,24,0,0,PR06 - ul. Kosmonautów-Boguszowska
1920,2025-01-14 09:19:58.203000,133,2,0,PR08 - ul. Opolska-Głubczycka
1921,2025-01-14 09:05:07.813000,34,0,0,PR05 - ul. Bardzka-Świeradowska
1922,2025-01-14 09:12:32.960000,-294,0,0,PR15 - ul. Kamiennogórska
1923,2025-01-14 10:58:45.497000,48,0,0,PR12 - Klecina - pętla MPK
1924,2025-01-14 11:00:05.657000,-50,0,1,PR07 - ul. Kosmonautów-Fieldorfa (Szpital)
1925,2025-01-14 10:25:41.350000,25,0,0,PR03B - Grabiszyn północ
1926,2025-01-14 10:57:14.507000,108,0,0,PR01B - Psie Pole - Stacja PKP parking nr 3
1927,2025-01-14 10:57:41.780000,21,0,0,PR03A - Grabiszyn południe
1928,2025-01-14 10:50:55.173000,42,0,0,PR02 - ul. Bystrzycka-Idzikowskiego (Kuźniki)
1929,2025-01-14 11:00:18.977000,37,1,0,PR04 - ul. Snycerska-Majchra (Leśnica)
1930,2025-01-14 10:59:22.140000,-11,0,0,PR11 - ul. Ślężna-Kamienna
1931,2025-01-14 10:27:40.287000,2,0,0,PR09 - ul. Opolska-Karwińska
1932,2025-01-14 10:56:32.587000,20,0,0,PR06 - ul. Kosmonautów-Boguszowska
1933,2025-01-14 11:02:33.263000,128,0,1,PR08 - ul. Opolska-Głubczycka
1934,2025-01-14 09:05:07.813000,34,0,0,PR05 - ul. Bardzka-Świeradowska
1935,2025-01-14 09:26:25.370000,-294,0,0,PR15 - ul. Kamiennogórska
1936,2025-01-14 09:58:01.300000,22,0,0,PR17 -  ul. Osobowicka
1937,2025-01-14 00:08:32.137000,11,0,0,PR09 - ul. Opolska-Karwińska
1938,2025-01-14 01:50:31.757000,42,0,0,PR07 - ul. Kosmonautów-Fieldorfa (Szpital)
1939,2025-01-14 02:23:17.753000,35,0,0,PR03B - Grabiszyn północ
1940,2025-01-14 04:46:46.730000,107,2,0,PR01B - Psie Pole - Stacja PKP parking nr 3
1941,2025-01-14 01:19:34.377000,45,0,0,PR02 - ul. Bystrzycka-Idzikowskiego (Kuźniki)
1942,2025-01-14 04:29:23.713000,17,0,0,PR11 - ul. Ślężna-Kamienna
1943,2025-01-14 00:08:32.137000,11,0,0,PR09 - ul. Opolska-Karwińska
1944,2025-01-14 04:46:26.800000,160,1,0,PR08 - ul. Opolska-Głubczycka
1945,2025-01-14 04:44:33.023000,-290,0,0,PR15 - ul. Kamiennogórska
1946,2025-01-14 00:40:31.120000,23,0,0,PR17 -  ul. Osobowicka
1947,2025-01-14 00:18:33.920000,46,0,0,PR02 - ul. Bystrzycka-Idzikowskiego (Kuźniki)
1948,2025-01-14 00:18:33.920000,46,0,0,PR02 - ul. Bystrzycka-Idzikowskiego (Kuźniki)
1949,2025-01-14 00:10:36.647000,23,0,0,PR11 - ul. Ślężna-Kamienna
1950,2025-01-14 00:08:32.137000,11,0,0,PR09 - ul. Opolska-Karwińska
1951,2025-01-14 00:40:31.120000,23,0,0,PR17 -  ul. Osobowicka
1952,2025-01-14 01:20:06.407000,41,1,0,PR07 - ul. Kosmonautów-Fieldorfa (Szpital)
1953,2025-01-14 01:19:34.377000,45,0,0,PR02 - ul. Bystrzycka-Idzikowskiego (Kuźniki)
1954,2025-01-14 00:08:32.137000,11,0,0,PR09 - ul. Opolska-Karwińska
1955,2025-01-14 00:40:31.120000,23,0,0,PR17 -  ul. Osobowicka
1956,2025-01-14 01:20:06.407000,41,0,0,PR07 - ul. Kosmonautów-Fieldorfa (Szpital)
1957,2025-01-14 01:19:34.377000,45,0,0,PR02 - ul. Bystrzycka-Idzikowskiego (Kuźniki)
1958,2025-01-14 00:10:36.647000,23,0,0,PR11 - ul. Ślężna-Kamienna
1959,2025-01-14 00:08:32.137000,11,0,0,PR09 - ul. Opolska-Karwińska
1960,2025-01-14 01:20:06.407000,41,0,0,PR07 - ul. Kosmonautów-Fieldorfa (Szpital)
1961,2025-01-14 01:19:34.377000,45,0,0,PR02 - ul. Bystrzycka-Idzikowskiego (Kuźniki)
1962,2025-01-14 00:10:36.647000,23,0,0,PR11 - ul. Ślężna-Kamienna
1963,2025-01-14 00:08:32.137000,11,0,0,PR09 - ul. Opolska-Karwińska
1964,2025-01-14 00:40:31.120000,23,0,0,PR17 -  ul. Osobowicka
1965,2025-01-14 01:50:31.757000,42,0,1,PR07 - ul. Kosmonautów-Fieldorfa (Szpital)
1966,2025-01-14 01:19:34.377000,45,0,0,PR02 - ul. Bystrzycka-Idzikowskiego (Kuźniki)
1967,2025-01-14 00:10:36.647000,23,0,0,PR11 - ul. Ślężna-Kamienna
1968,2025-01-14 00:08:32.137000,11,0,0,PR09 - ul. Opolska-Karwińska
1969,2025-01-14 00:40:31.120000,23,0,0,PR17 -  ul. Osobowicka
1970,2025-01-14 01:50:31.757000,42,0,0,PR07 - ul. Kosmonautów-Fieldorfa (Szpital)
1971,2025-01-14 01:19:34.377000,45,0,0,PR02 - ul. Bystrzycka-Idzikowskiego (Kuźniki)
1972,2025-01-14 00:10:36.647000,23,0,0,PR11 - ul. Ślężna-Kamienna
1973,2025-01-14 00:08:32.137000,11,0,0,PR09 - ul. Opolska-Karwińska
1974,2025-01-14 00:40:31.120000,23,0,0,PR17 -  ul. Osobowicka
1975,2025-01-14 00:08:32.137000,11,0,0,PR09 - ul. Opolska-Karwińska
1976,2025-01-14 01:50:31.757000,42,0,0,PR07 - ul. Kosmonautów-Fieldorfa (Szpital)
1977,2025-01-14 01:19:34.377000,45,0,0,PR02 - ul. Bystrzycka-Idzikowskiego (Kuźniki)
